UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2016,6,1,Super rich : a guide to having it all / Russell Simmons with Chris Morrow.,,"Simmons, Russell","Self realization, Conduct of life, Attitude Psychology, Spiritual life","Gotham Books,",c2011.
Physical,Horizon,BOOK,2016,6,1,Shadowheart / James Barclay.,,"Barclay, James, 1965-","Raven Fictitious characters Barclay Fiction, Imaginary wars and battles Fiction, Fantasy fiction","Pyr,",2010.
Digital,OverDrive,EBOOK,2016,6,1,Where I'm Reading From: The Changing World of Books,,Tim Parks,"Literary Criticism, Nonfiction","Random House, Inc.",2015
Physical,Horizon,BOOK,2016,6,1,Little spotted cat / by Alyssa Satin Capucilli ; illustrations by Dan Andreason.,,"Capucilli, Alyssa Satin, 1957-","Cats Juvenile fiction, Naps Sleep Juvenile fiction, Behavior Fiction","Dial Books for Young Readers,",2005.
Physical,Horizon,SOUNDDISC,2016,6,1,Dog & butterfly [sound recording] / Heart.,,Heart (Musical group),Rock music 1971 1980,"Epic/Legacy,",c2004.
Physical,Horizon,BOOK,2016,6,1,Precalculus the easy way / Larry S. Leff.,,"Leff, Lawrence S.",Algebra Problems exercises etc,"Barron's,",c2005.
Physical,Horizon,BOOK,2016,6,1,The broken places / Ace Atkins.,,"Atkins, Ace","United States Army Commando troops Fiction, Murder Investigation Fiction, Mississippi Fiction, Domestic fiction, Mystery fiction","G.P. Putnam's Sons,",c2013.
Digital,OverDrive,EBOOK,2016,6,1,Once Upon an Alphabet: Short Stories for All the Letters,,Oliver Jeffers,"Juvenile Fiction, Picture Book Fiction","Penguin Group (USA), Inc.",2015
Physical,Horizon,BOOK,2016,6,4,The story of Wolverine / written by Michael Teitelbaum.,,"Teitelbaum, Michael","Wolverine Fictitious character Comic books strips etc, Heroes Juvenile literature, Cartoons and comics","DK Pub.,",c2009.
Digital,OverDrive,EBOOK,2016,6,1,"Slated for Death: Penny Brannigan Mystery Series, Book 6",,Elizabeth J. Duncan,"Fiction, Mystery",Macmillan Publishers,2015
Physical,Horizon,BOOK,2016,6,1,"Baleia! Baleia! Whale hunters of the Azores. Illustrated with photos., maps, and drawings by the author.",,"Venables, Bernard, 1907-2001","Whaling Azores Fayal, Faial Island Azores Description and travel",Knopf,1969 [c1968]
Physical,Horizon,BOOK,2016,6,2,Nancy Clancy seeks a fortune / written by Jane O'Connor ; illustrations by Robin Preiss Glasser.,,"O'Connor, Jane","Money making projects for children Juvenile fiction, Fund raising Juvenile fiction, Entrepreneurship Juvenile fiction, Best friends Juvenile fiction, Friendship Juvenile fiction, Moneymaking projects Fiction, Entrepreneurship Fiction","Harper, an imprint of HarperCollinsPublishers,",[2016]
Physical,Horizon,BOOK,2016,6,3,The flame alphabet / Ben Marcus,,"Marcus, Ben, 1967-","Speech Health aspects Fiction, Parent and child Fiction, Communication in families Fiction, Dystopias, Science fiction","Alfred A. Knopf,",2012.
Digital,OverDrive,AUDIOBOOK,2016,6,2,"Three Weeks with Lady X: Desperate Duchesses Series, Book 7 (unabridged)",,Eloisa James,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2014
Physical,Horizon,BOOK,2016,6,1,The voice of Rolling Thunder : a medicine man's wisdom for walking the red road / Sidian Morning Star Jones and Stanley Krippner.,,"Jones, Sidian Morning Star","Rolling Thunder, Indians of North America Biography, Cherokee Indians Biography, Indians of North America Medicine, Indians of North America Religion","Bear,",c2012.
Digital,OverDrive,EBOOK,2016,6,3,"Pawn: The Blackcoat Rebellion Series, Book 1",,Aimée Carter,"Science Fiction, Teen, Young Adult Fiction","Harlequin Enterprises, Ltd.",2014
Physical,Horizon,SOUNDDISC,2016,6,2,Into the deep [sound recording] / Galactic.,,Galactic (Musical group),"Popular music 2011 2020, Funk Music","Provogue,",[2015]
Physical,Horizon,VIDEODISC,2016,6,3,"Mala noche [videorecording] = Bad night / Janus Films ; screenplay, produced, directed by Gus Van Sant.",,,"Gay men Drama, Teenage boys Drama, Feature films, Video recordings for the hearing impaired","The Criterion Collection,",2007.
Physical,Horizon,SOUNDDISC,2016,6,2,Shift into freedom : a training in the science and practice of open-hearted awareness / Loch Kelly.,,"Kelly, Loch.","Awareness, Consciousness, Mind and body, Audiobooks","Sounds True,",[2015].
Digital,OverDrive,AUDIOBOOK,2016,6,1,Remembering Laughter,,Wallace Stegner,"Fiction, Literature","Blackstone Audio, Inc.",2011
Physical,Horizon,VIDEODISC,2016,6,42,"Only lovers left alive [videorecording] / Sony Pictures Classics ; a Recorded Picture Company/Pandora Film/Snow Wolf production ; in association with Faliro House, Le Pacte, Hanway Films ; produced by Jeremy Thomas, Reinhard Brundig ; written and directed by Jim Jarmusch.",,,"Musicians Drama, Vampires Drama, Man woman relationships Drama, Feature films, Horror films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Sony Pictures Classics,",[2014]
Digital,OverDrive,EBOOK,2016,6,1,Just One Kiss,,Samantha James,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2010
Digital,OverDrive,EBOOK,2016,6,2,"Shakespeare's Landlord: Lily Bard Mystery Series, Book 1",,Charlaine Harris,"Fiction, Mystery","Penguin Group (USA), Inc.",2009
Digital,OverDrive,AUDIOBOOK,2016,6,1,The Darwin Myth: The Life and Lies of Charles Darwin (unabridged),,"Benjamin Wiker, PhD","Biography & Autobiography, Nonfiction","Blackstone Audio, Inc.",2010
Digital,Freegal,SONG,2016,6,1,"Money (from ""Cabaret"")",,Alan Cumming,,,
Digital,OverDrive,EBOOK,2016,6,3,Dear Pope Francis: The Pope Answers Letters from Children Around the World,,Pope Francis,"Juvenile Nonfiction, Religion & Spirituality",Loyola Press,2016
Physical,Horizon,VIDEODISC,2016,6,1,"Vamos a jugar [videorecording] = Let's play / production, Create Studios ; producer, Heidi Stock ; director, Bill Oglesby, Heidi Stock.",,,"Spanish language Vocabulary Juvenile films, Spanish language Self instruction Juvenile films, Spanish language Study and teaching Early childhood Juvenile films, Spanish language materials, Childrens films","Whistlefritz LLC,",c2008.
Physical,Horizon,VIDEODISC,2016,6,25,"The hollow crown [videorecording] : the complete series : Richard II, Henry IV part 1, Henry IV part 2, Henry V / by William Shakespeare ; producer, Rupert Ryle-Hodges ; a Neal Street Productions co-production with NBC Universal and WNET Thirteen for BBC.",,,"Richard II King of England 1367 1400 Drama, Henry IV King of England 1367 1413 Drama, Great Britain History Henry IV 1399 1413 Drama, Henry V King of England 1387 1422 Drama, Great Britain History Henry V 1413 1422 Drama, Shakespeare William 1564 1616 Film and video adaptations, Television mini series, Historical television programs, Fiction television programs, Video recordings for the hearing impaired","Universal Studios,",[2013]
Physical,Horizon,BOOK,2016,6,1,My man Jeeves / P.G. Wodehouse.,,"Wodehouse, P. G. (Pelham Grenville), 1881-1975","Jeeves Fictitious character Fiction, Wooster Bertie Fictitious character Fiction, Valets Fiction, Single men Fiction, England Fiction, Humorous fiction","Overlook Press,",2006.
Physical,Horizon,BOOK,2016,6,1,Triptych / J.M. Frey.,,"Frey, J. M.","Human alien encounters Fiction, Extraterrestrial beings Fiction, Science fiction","Dragon Moon Press,","[2011], c2010."
Physical,Horizon,BOOK,2016,6,7,"Jesus before the gospels : how the earliest Christians remembered, changed, and invented their stories of the Savior / Bart D. Ehrman.",,"Ehrman, Bart D.","Jesus Christ Historicity, Jesus Christ Biography Sources","HarperOne,",2016.
